BuildingNumber,BuildingName,FullAddress,Agency,Phone,Fax,Address,City,State,ZipCode,Latitude,Longitude,Region
1.0,1.0,"950 22ND STREET NORTH, BIRMINGHAM, AL, 35203.0","OSHA,WHD, OLMS","(205)-731-1534



",(205)-731-0504,950 22ND STREET NORTH,BIRMINGHAM,AL,35203.0,33.5252438,-86.8095992,
2.0,2.0,"1141 MONTLIMAR DRIVE, MOBILE, AL, 36609.0","OSHA,WHD","(251)-441-6131



",(251)-441-6396,1141 MONTLIMAR DRIVE, MOBILE,AL,36609.0,30.6677141,-88.132427,
3.0,3.0,"649 MONROE STREET, MONTGOMERY, AL, 36131.0",VETS,"



",(334)-242-8927,649 MONROE STREET,MONTGOMERY,AL,36131.0,32.3792935,-86.3006966,
4.0,4.0,"135 GEMINI CIRCLE, BIRMINGHAM, AL, 35209.0",MSHA,"



",(205)-290-7389,135 GEMINI CIRCLE, BIRMINGHAM,AL,35209.0,33.4616648,-86.8359471,
5.0,5.0,"222 WEST 8TH AVENUE, ANCHORAGE, AK, 99513.0",OSHA,"



",,222 WEST 8TH AVENUE,ANCHORAGE,AK,99513.0,61.2143349,-149.8863414,
6.0,6.0,"1111 WEST 8TH STREET, JUNEAU, AK, 99811.0",VETS,"(907)-465-2723



",(907)-465-5528,1111 WEST 8TH STREET, JUNEAU,AK,99811.0,58.2996406,-134.423772,
7.0,7.0,"230 NORTH FIRST AVENUE, PHOENIX, AZ, 85003.0","WHD, OLMS","(602)-514-7100



",,230 NORTH FIRST AVENUE, PHOENIX,AZ,85003.0,33.4511472,-112.0755031,
8.0,8.0,"1400 WEST WASHINGTON STREET, PHOENIX, AZ, 85007.0",VETS,"(602)-542-2516



",(602)-542-4103,1400 WEST WASHINGTON STREET, PHOENIX,AZ,85007.0,33.4484688,-112.0908758,
9.0,9.0,"10810 EXECUTIVE CENTER DRIVE, DANVILLE BLDG #2, LITTLE ROCK, AR, 72211.0","OSHA, WHD","(501)-224-1841



",(501)-224-4431,10810 EXECUTIVE CENTER DRIVE,LITTLE ROCK,AR,72211.0,34.7446913,-92.4159308,
10.0,11.0,"90 7TH STREET, SAN FRANCISCO, CA 94103, 94103.0","OPA, ALJ, WB, BLS, WHD, OFCCP, OLMS, OWCP, ETA, OA, JC, MSHA, OASAM, OIG, OSHA, EBSA, SOL, VETS","(415)-625-2481



",(415)-625-2450,90 7TH STREET, SAN FRANCISCO, CA 94103,94103.0,37.7793739,-122.4111351,
11.0,12.0,"1055 EAST COLORADO BOULEVARD, PASADENA, CA, 91106.0",EBSA,"(626)-229-1000



",(626)-229-1098,1055 EAST COLORADO BOULEVARD, PASADENA,CA,91106.0,34.1463823,-118.1287416,
12.0,13.0,"915 WILSHIRE BOULEVARD, LOS ANGELES, CA, 90017.0",WHD,"



",,915 WILSHIRE BOULEVARD, LOS ANGELES,CA,90017.0,34.0509576,-118.2600449,
13.0,14.0,"770 THE CITY DRIVE SOUTH, ORANGE, CA, 92868.0",WHD,"



",,770 THE CITY DRIVE SOUTH, ORANGE,CA,92868.0,33.7759475,-117.8925591,
14.0,15.0,"2800 COTTAGE WAY, SACRAMENTO, CA, 95825.0",WHD,"(916)-978-6123



",,2800 COTTAGE WAY,SACRAMENTO,CA,95825.0,38.6027301,-121.3975241,
15.0,16.0,"550 CORPORATE CENTER, SAN DIEGO, CA, 92101.0",WHD,"(619)-557-5110



",,550 CORPORATE CENTER,SAN DIEGO,CA,92101.0,32.5729139,-117.0023281,
16.0,17.0,"60 SOUTH MARKET STREET, SAN JOSE, CA, 95113.0",WHD,"(408)-291-7730



",,60 SOUTH MARKET STREET, SAN JOSE,CA,95113.0,37.3345277,-121.8909797,
17.0,18.0,"100 NORTH BARRANCA STREET, WEST COVINA, CA, 91791.0","WHD, VETS","(626)-966-0478



",,100 NORTH BARRANCA STREET, WEST COVINA,CA,91791.0,34.073109,-117.880728,
18.0,19.0,"800 CAPITOL MALL, SACRAMENTO, CA, 94280.0",VETS,"(916)-654-8178



",(916)-654-9469,800 CAPITOL MALL,SACRAMENTO,CA,94280.0,38.5771832,-121.4973719,
19.0,20.0,"209 EAST 7TH STREET, MADERA, CA, 93638.0",VETS,"



",,209 EAST 7TH STREET,MADERA,CA,93638.0,36.9609268,-120.0560983,
20.0,21.0,"4071 PORT CHICAGO HIGHWAY, CONCORD, CA, 94520.0",VETS,"(925)-602-5032



",(925)-602-1585,4071 PORT CHICAGO HIGHWAY, CONCORD,CA,94520.0,38.014674,-122.025479,
21.0,22.0,"320 CAMPUS LANE FAIRFIELD, FAIRFIELD, CA, 94534.0",VETS,"(707)-863-3583



",(707)-864-3489,320 CAMPUS LANE FAIRFIELD,FAIRFIELD,CA,94534.0,38.2309877,-122.124624,
22.0,23.0,"13160 MINDANAO WAY, MARINA DEL REY, CA, 90292.0",VETS,"(310)-574-6473



",(310)-574-6496,13160 MINDANAO WAY, MARINA DEL REY,CA,90292.0,33.984469,-118.43679,
23.0,24.0,"2450 EAST LINCOLN AVENUE, ANAHEIM, CA, 92806.0",VETS,"(714)-687-4845



",(714)-518-2391,2450 EAST LINCOLN AVENUE,ANAHEIM,CA,92806.0,33.838138,-117.880907,
24.0,25.0,"1949 AVENIDA DEL ORO, OCEANSIDE, CA, 92056.0",VETS,"(760)-639-3761



",(760)-639-3892,1949 AVENIDA DEL ORO, OCEANSIDE,CA,92056.0,33.2066449,-117.2902194,
25.0,26.0,"5675 RUFFIN ROAD, SAN DIEGO, CA, 92123.0",WB,"(858)-467-7030



",(858)-467-7014,5675 RUFFIN ROAD, SAN DIEGO,CA,92123.0,32.8375641,-117.1261867,
26.0,27.0,"WORLD TRADE CENTER, LOS ANGELES, CA, 90071.0","SOL, BLS","(415)-625-2270



",,WORLD TRADE CENTER, LOS ANGELES,CA,90071.0,34.0539143,-118.2552584,
27.0,28.0,"2060 PEABODY ROAD, VACAVILLE, CA, 95687.0",OALJ,"(707)-447-9844



",,2060 PEABODY ROAD, VACAVILLE,CA,95687.0,38.334065,-121.970936,
28.0,29.0,"915 WILSHIRE BOULEVARD, LOS ANGELES, CA, 90017.0",MSHA,"(213)-534-6405



",(213)-534-6413,915 WILSHIRE BOULEVARD, LOS ANGELES,CA,90017.0,34.0509576,-118.2600449,
29.0,30.0,"1999 BROADWAY, DENVER, CO, 80202.0","OPA, OALJ, WB, BLS, WHD, OFCCP, OLMS, OWCP, ETA, OA, JC, MSHA, OASAM, OIG, OSHA, EBSA, SOL, VETS ","



",(720)-264-6585,1999 BROADWAY, DENVER,CO,80202.0,39.7477971,-104.9877172,
30.0,31.0,"1391 SPEER BOULEVARD, DENVER, CO, 80204.0",OSHA,"(303)-844-5285



",(303)-844-6676,1391 SPEER BOULEVARD, DENVER,CO,80204.0,39.7382999,-104.9980262,
31.0,32.0,"7935 EAST PRENTICE AVENUE, ENGLEWOOD, CO, 80111.0",OSHA,"(303)-843-4500



",(303)-843-4515,7935 EAST PRENTICE AVENUE, ENGLEWOOD,CO,80111.0,39.621605,-104.8964191,
32.0,33.0,"633 17TH STREET, DENVER, CO, 80202.0",VETS,"(303)-844-2151

(303)-844-2152

",(303)-844-2017,633 17TH STREET, DENVER,CO,80202.0,39.746652,-104.9898142,
33.0,34.0,"1259 LAKE PLAZA DRIVE, #120, COLORADO SPRINGS, CO, 80906.0",VETS,"(719)-527-4315



",(719)-576-0451,1259 LAKE PLAZA DRIVE,COLORADO SPRINGS,CO,80906.0,38.7937173,-104.8054933,
34.0,35.0,"1057 BROAD STREET, BRIDGEPORT, CT, 6604.0",OSHA,"(203)-579-5581



",(203)-579-5516,1057 BROAD STREET,BRIDGEPORT,CT,6604.0,41.1776054,-73.191166,
35.0,36.0,"450 MAIN STREET HARTFORD, HARTFORD, CT, 6103.0",OSHA,"(860)-240-3152



",(860)-240-3155,450 MAIN STREET HARTFORD,HARTFORD,CT,6103.0,41.7612161,-72.6741202,
36.0,37.0,"135 HIGH STREET HARTFORD, HARTFORD, CT, 6103.0",WHD,"(860)-240-4160



",,135 HIGH STREET HARTFORD,HARTFORD,CT,6103.0,41.7700927,-72.6801297,
37.0,38.0,"150 COURT STREET NEW HAVEN, NEW HAVEN, CT, 6510.0",WHD,"(203)-773-2249



",,150 COURT STREET NEW HAVEN,NEW HAVEN,CT,6510.0,41.3064261,-72.923862,
38.0,39.0,"200 FOLLY BROOK BOULEVARD, WETHERSFIELD, CT, 6109.0",VETS,"



",(860)-263-6498,200 FOLLY BROOK BOULEVARD,WETHERSFIELD,CT,6109.0,41.721393,-72.677501,
39.0,40.0,"919 MARKET STREET, MELLON BANK BUILDING, WILMINGTON, DE, 19801.0",OSHA,"(302)-573-6518



",(302)-573-6532,919 MARKET STREET,WILMINGTON,DE,19801.0,39.7312603,-75.5451379,
40.0,41.0,"4425 NORTH MARKET STREET, WILMINGTON, DE, 19802.0",VETS,"(302)-761-8138

(302)-761-8139

",(302)-761-4676,4425 NORTH MARKET STREET,WILMINGTON,DE,19802.0,34.2408848,-77.9469765,
41.0,42.0,"64 NEW YORK AVENUE, NORTH EAST, WASHINGTON, DC, 20002.0",VETS,"(202)-671-2179



",(202)-671-1503,"64 NEW YORK AVENUE, NORTH EAST",WASHINGTON,DC,20002.0,38.9093546,-77.0069743,
42.0,43.0,"800 K STREET, NORTH WEST, WASHINGTON, DC, 20001.0",OALJ,"(202)-693-7300



",(202)-693-7365,"800 K STREET, NORTH WEST",WASHINGTON,DC,20001.0,38.9017024,-77.0227306,
43.0,44.0,"800 NORTH CAPITOL STREET, NORTH WEST, WASHINGTON, DC, 20002.0","OLMS, OIG","(202)-513-7300



",(202)-513-7301,"800 NORTH CAPITOL STREET, NORTH WEST",WASHINGTON,DC,20002.0,38.9005114,-77.0094721,
44.0,45.0,"1000 S PINE ISLAND ROAD, PLANTATION, FL, 33324.0","EBSA, OSHA","(954)-424-4022



",(954)-424-0548,1000 S PINE ISLAND ROAD, PLANTATION,FL,33324.0,26.1088816,-80.2589454,
45.0,46.0,"RIBAULT BUILDING, JACKSONVILLE, FL, 32207.0",OSHA,"(904)-232-2895



",(904)-232-1294,RIBAULT BUILDING, JACKSONVILLE,FL,32207.0,30.4094209,-81.6973056,
46.0,47.0,"5807 BRECKENRIDGE PARKWAY, TAMPA, FL, 33610.0",OSHA,"(813)-626-1177



",(813)-626-7015,5807 BRECKENRIDGE PARKWAY, TAMPA,FL,33610.0,28.0010747,-82.3579685,
47.0,48.0,"299 EAST BROWARD BOULEVARD, FEDERAL BUILDING, FORT LAUDERDALE, FL, 33301.0",WHD,"(954)-356-6896



",,299 EAST BROWARD BOULEVARD,FORT LAUDERDALE,FL,33301.0,26.1242719,-80.128901,
48.0,49.0,"400 WEST BAY STREET, JACKSONVILLE, FL, 32202.0",WHD,"(904)-359-9292



",,400 WEST BAY STREET,JACKSONVILLE,FL,32202.0,30.3269298,-81.6637258,
49.0,50.0,"10300 SUNSET DRIVE, MIAMI, FL, 33173.0",WHD,"(305)-598-6607



",,10300 SUNSET DRIVE,MIAMI,FL,33173.0,25.7002045,-80.3611234,
50.0,51.0,"1001 EXECUTIVE CENTER DRIVE, #103, ORLANDO, FL, 32803.0",WHD,"(407)-648-6471



",,1001 EXECUTIVE CENTER DRIVE,ORLANDO,FL,32803.0,28.5597436,-81.3422747,
51.0,52.0,"227 NORTH BRONOUGH STREET, TALLAHASSEE, FL, 32301.0",WHD,"(850)-942-8341



",,227 NORTH BRONOUGH STREET,TALLAHASSEE,FL,32301.0,30.4438924,-84.2839622,
52.0,53.0,"4905 WEST LAUREL AVENUE, TAMPA, FL, 33607.0",WHD,"(813)-288-1242



",,4905 WEST LAUREL AVENUE, TAMPA,FL,33607.0,27.956426,-82.526402,
53.0,54.0,"107 EAST MADISON STREET, TALLAHASSEE, FL, 32399.0",VETS,"(850)-245-7199



",,107 EAST MADISON STREET, TALLAHASSEE,FL,32399.0,30.4362265,-84.2813516,
54.0,55.0,"215 MARKET STREET, JACKSONVILLE, FL, 32202.0",VETS,"(904)-353-2187



",(904)-359-6151,215 MARKET STREET, JACKSONVILLE,FL,32202.0,30.3272522,-81.6536622,
